Couple_ID,T1A_Demo_Age_A,Attention_1.x_A,Attention_2.x_A,T1A_Demo_Gender_A,T1A_ROES_FB_S__1_A,T1A_ROES_FB_S__2_A,T1A_ROES_FB_S__3_A,T1A_ROES_FB_S__4_A,T1A_ROES_FB_S__5_A,T1A_ROES_FB_S__6_A,T1A_ROES_FB_S__7_A,T1A_ROES_FB_S__8_A,T1A_ROES_FB_S__9_A,T1A_ROES_FB_S__10_A,T1A_ROES_FB_S__11_A,T1A_ROES_FB_S__12_A,T1A_ROES_FB_S__13_A,T1A_ROES_FB_S__14_A,T1A_ROES_FB_S__15_A,T1A_ROES_FB_S__16_A,T1A_ROES_FB_S__17_A,T1A_ROES_FB_S__18_A,T1A_ROES_FB_S__19_A,T1A_ROES_FB_S__20_A,T1A_ROES_FB_S__21_A,T1A_ROES_FB_S__22_A,T1A_ROES_FB_S__23_A,T1A_ROES_FB_S__24_A,T1A_ROES_FB_S__25_A,T1A_ROES_FB_S__26_A,T1A_ROES_FB_S__27_A,T1A_ROES_FB_S__28_A,T1A_ROES_FB_S__29_A,T1A_ROES_FB_S__30_A,T1A_ROES_FB_S__31_A,T1A_ROES_FB_S__32_A,T1A_Demo_Age_P,Attention_1.x_P,Attention_2.x_P,T1A_Demo_Gender_P,Attention_1.y_P,Attention_2.y_P,T1B_ROES_FB_O__1_P,T1B_ROES_FB_O__2_P,T1B_ROES_FB_O__3_P,T1B_ROES_FB_O__4_P,T1B_ROES_FB_O__5_P,T1B_ROES_FB_O__6_P,T1B_ROES_FB_O__7_P,T1B_ROES_FB_O__8_P,T1B_ROES_FB_O__9_P,T1B_ROES_FB_O__10_P,T1B_ROES_FB_O__11_P,T1B_ROES_FB_O__12_P,T1B_ROES_FB_O__13_P,T1B_ROES_FB_O__14_P,T1B_ROES_FB_O__15_P,T1B_ROES_FB_O__16_P,T1B_ROES_FB_O__17_P,T1B_ROES_FB_O__18_P,T1B_ROES_FB_O__19_P,T1B_ROES_FB_O__20_P,T1B_ROES_FB_O__21_P,T1B_ROES_FB_O__22_P,T1B_ROES_FB_O__23_P,T1B_ROES_FB_O__24_P,T1B_ROES_FB_O__25_P,T1B_ROES_FB_O__26_P,T1B_ROES_FB_O__27_P,T1B_ROES_FB_O__28_P,T1B_ROES_FB_O__29_P,T1B_ROES_FB_O__30_P,T1B_ROES_FB_O__31_P,T1B_ROES_FB_O__32_P,Length,RelWB_P,RelWB_A
1113155142,36,2,1,1,5,5,4,5,5,5,5,5,4,3,3,4,6,5,6,5,6,5,5,6,3,4,4,3,3,4,1,2,2,3,3,2,35,2,1,2,1,5,4,5,5,4,1,3,2,4,5,4,5,5,6,6,4,4,4,5,5,6,4,5,4,3,5,5,5,5,2,3,3,2,18.33333333,30.01666667,28.83571429
1132030226,33,2,1,1,2,5,4,5,1,2,1,1,4,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,1,1,3,1,32,2,1,2,1,5,4,5,4,4,4,4,1,1,5,5,5,5,6,6,6,6,6,6,5,5,6,5,5,5,4,5,4,5,1,1,2,1,15.66666667,28.12380952,27.01428571
1159378848,45,2,1,1,4,4,4,4,3,4,4,3,6,6,4,4,6,6,6,5,6,6,6,6,4,4,3,3,4,4,5,2,2,2,1,1,45,2,1,2,1,5,4,4,4,4,2,3,3,2,5,5,3,4,5,5,5,5,6,5,6,6,3,4,3,3,3,3,3,4,4,2,2,2,20.25,31.37380952,32.91666667
1159772361,39,2,1,1,5,2,5,4,1,1,2,1,6,6,6,6,3,2,2,2,5,5,4,5,3,2,1,1,3,4,1,5,1,1,1,2,30,2,1,2,1,5,6,4,5,5,2,4,3,2,6,6,6,6,4,3,4,5,5,5,5,5,4,5,4,4,5,5,4,4,2,2,2,3,9.583333333,27.91428571,30.47142857
1210423345,30,2,1,2,5,5,4,5,1,2,5,2,6,4,5,5,6,6,6,6,5,5,5,6,5,6,5,5,5,5,3,4,1,1,2,1,33,2,1,1,1,5,6,5,5,5,6,6,6,5,5,6,5,6,6,5,6,6,6,5,6,6,5,4,6,5,6,6,6,6,5,6,4,4,6.5,30.05,30.33095238
1221607712,25,2,1,2,5,5,5,5,1,1,1,1,6,6,6,5,5,5,4,5,5,5,5,5,2,5,2,4,5,5,2,5,1,1,5,1,27,2,1,1,1,5,5,5,5,4,1,2,1,5,4,5,5,5,5,5,6,5,5,5,5,5,3,5,3,4,4,4,5,4,4,1,3,1,2.75,30.03095238,30.76666667
1232479475,42,2,1,1,3,4,4,4,2,3,3,2,3,4,2,3,4,4,4,5,5,5,5,5,5,5,3,3,4,3,3,4,2,2,2,2,27,2,1,2,1,5,3,5,3,4,1,1,1,1,4,2,4,2,6,6,5,6,6,6,6,6,6,6,2,4,5,4,4,2,1,1,1,1,13.25,30.33095238,25.34285714
1240424786,61,2,1,2,5,5,6,5,1,1,1,1,1,2,1,3,4,4,4,4,6,4,6,5,4,1,1,2,1,1,1,1,1,1,1,1,69,2,1,1,1,5,3,5,3,3,4,2,4,3,3,3,2,3,6,6,6,4,6,4,5,4,5,4,4,4,3,3,2,2,2,4,2,2,22.91666667,30.04761905,19.98809524
1241868359,31,2,1,2,1,1,1,1,1,1,1,1,3,4,3,3,4,4,4,4,4,4,5,4,5,4,1,1,1,1,5,1,1,1,1,1,30,2,1,1,1,5,2,4,3,3,1,4,2,2,2,2,2,1,4,4,4,4,5,4,4,4,2,2,2,2,2,3,2,3,1,1,6,5,4.666666667,20.63333333,31.15
1242414325,41,2,1,1,5,5,6,6,2,1,2,1,2,2,3,3,4,5,5,4,6,5,6,5,5,5,4,4,3,3,3,3,1,1,2,1,37,2,1,2,1,5,6,5,5,6,1,3,2,1,5,4,4,5,4,4,4,4,5,5,5,5,5,4,4,4,3,4,4,3,2,1,1,1,6,30.07857143,30.67380952
